tas,date, Country, ISO3, ISO2
23.3719,1961-11,KEN,,
24.0781,1961-12,KEN,,
23.8245,1962-1,KEN,,
24.9562,1962-2,KEN,,
25.6773,1962-3,KEN,,
25.5027,1962-4,KEN,,
23.8904,1962-5,KEN,,
23.3921,1962-6,KEN,,
22.6724,1962-7,KEN,,
23.3777,1962-8,KEN,,
23.9038,1962-9,KEN,,
24.7221,1962-10,KEN,,
24.5062,1962-11,KEN,,
24.3764,1962-12,KEN,,
24.6024,1963-1,KEN,,
25.5107,1963-2,KEN,,
26.1284,1963-3,KEN,,
24.8003,1963-4,KEN,,
23.8742,1963-5,KEN,,
22.8681,1963-6,KEN,,
22.6531,1963-7,KEN,,
22.5748,1963-8,KEN,,
23.4035,1963-9,KEN,,
25.1059,1963-10,KEN,,
24.5059,1963-11,KEN,,
23.9079,1963-12,KEN,,
24.293,1964-1,KEN,,
25.9355,1964-2,KEN,,
26.4592,1964-3,KEN,,
25.2355,1964-4,KEN,,
24.0243,1964-5,KEN,,
23.1323,1964-6,KEN,,
21.7363,1964-7,KEN,,
22.3398,1964-8,KEN,,
22.8771,1964-9,KEN,,
23.788,1964-10,KEN,,
24.382,1964-11,KEN,,
23.4645,1964-12,KEN,,
24.0642,1965-1,KEN,,
25.1794,1965-2,KEN,,
25.7329,1965-3,KEN,,
24.9783,1965-4,KEN,,
24.5289,1965-5,KEN,,
22.8391,1965-6,KEN,,
22.3366,1965-7,KEN,,
22.8333,1965-8,KEN,,
23.9625,1965-9,KEN,,
24.1003,1965-10,KEN,,
23.9567,1965-11,KEN,,
24.7031,1965-12,KEN,,
25.1091,1966-1,KEN,,
26.2226,1966-2,KEN,,
26.0262,1966-3,KEN,,
24.7101,1966-4,KEN,,
24.5501,1966-5,KEN,,
23.3008,1966-6,KEN,,
23.1269,1966-7,KEN,,
23.0335,1966-8,KEN,,
24.1609,1966-9,KEN,,
24.4625,1966-10,KEN,,
23.9669,1966-11,KEN,,
24.6976,1966-12,KEN,,
24.6931,1967-1,KEN,,
25.6125,1967-2,KEN,,
26.451,1967-3,KEN,,
25.1631,1967-4,KEN,,
24.1749,1967-5,KEN,,
23.155,1967-6,KEN,,
22.5908,1967-7,KEN,,
22.5744,1967-8,KEN,,
23.2066,1967-9,KEN,,
24.2552,1967-10,KEN,,
23.6279,1967-11,KEN,,
23.5952,1967-12,KEN,,
23.6529,1968-1,KEN,,
24.6894,1968-2,KEN,,
24.6452,1968-3,KEN,,
23.9752,1968-4,KEN,,
23.4213,1968-5,KEN,,
22.2332,1968-6,KEN,,
21.7088,1968-7,KEN,,
22.3181,1968-8,KEN,,
23.5564,1968-9,KEN,,
24.3697,1968-10,KEN,,
23.7149,1968-11,KEN,,
24.0378,1968-12,KEN,,
24.4393,1969-1,KEN,,
24.6482,1969-2,KEN,,
25.4825,1969-3,KEN,,
26.1786,1969-4,KEN,,
24.2979,1969-5,KEN,,
23.2914,1969-6,KEN,,
23.1042,1969-7,KEN,,
22.8685,1969-8,KEN,,
24.0397,1969-9,KEN,,
25.4302,1969-10,KEN,,
24.8566,1969-11,KEN,,
24.746,1969-12,KEN,,
25.3771,1970-1,KEN,,
26.1425,1970-2,KEN,,
26.3596,1970-3,KEN,,
24.885,1970-4,KEN,,
24.592,1970-5,KEN,,
23.4676,1970-6,KEN,,
22.9764,1970-7,KEN,,
23.1041,1970-8,KEN,,
23.7038,1970-9,KEN,,
24.8239,1970-10,KEN,,
24.9195,1970-11,KEN,,
24.7691,1970-12,KEN,,
24.9149,1971-1,KEN,,
24.9645,1971-2,KEN,,
25.3445,1971-3,KEN,,
25.253,1971-4,KEN,,
23.7902,1971-5,KEN,,
22.4617,1971-6,KEN,,
22.282,1971-7,KEN,,
22.6531,1971-8,KEN,,
